"draw","n","observed","counterfactual","att","reduction_pct","negative_counterfactual_cells"
239,4935,113706,138617.420051835,-5.04790679875086,17.9713487976619,365
240,4916,128788,160923.499490378,-6.53692015670829,19.9694262131675,475
241,5074,116839,153769.181652942,-7.27831723550304,24.0166340588935,289
242,4952,138292,167675.340421564,-5.93363094134986,17.5239485709048,279
243,4960,120763,153909.037507308,-6.68266885227987,21.5361216236144,383
244,4902,117557,145380.752801284,-5.67600016346064,19.1385395006968,460
245,5023,138433,90120.3314135194,9.61828958520418,-53.6090667097047,574
246,5081,117283,141284.044044094,-4.7236851100363,16.9877951940587,492
247,5081,131860,181897.72231003,-9.84800675261371,27.5087129594426,457
248,4942,111445,160703.875680354,-9.96739694058163,30.651952525608,549
249,5086,154328,170157.826526709,-3.11243148382002,9.30302581422779,307
250,5012,144910,160350.201263691,-3.08064670065669,9.62905013028351,390
251,4967,118262,139193.634976858,-4.21414032149352,15.0377817062816,395
252,5042,131163,154614.115669585,-4.65115344497915,15.1675127254879,444
253,4930,100509,137652.641611908,-7.53420722351077,26.9836024771899,467
254,5031,137393,175630.496827734,-7.60037702797344,21.771558765924,396
255,5062,134214,153778.950298481,-3.8650632750851,12.7227752956473,476
256,5019,168459,152999.092525341,3.0802764444429,-10.1045746216425,406
257,5035,132602,154402.682545006,-4.32982771499614,14.1193677374427,502
258,5033,132692,130319.10610367,0.471467096429529,-1.82083346584818,624
259,4982,130794,159211.382463712,-5.70401093209803,17.848838458638,369
260,5043,144745,187707.388584595,-8.51921248950921,22.8879581717866,398
261,4985,121423,153647.494236038,-6.46429172237474,20.9730034298729,441
262,5125,140020,156443.422238098,-3.20457019279956,10.497994740298,418
263,4978,132122,153487.076605915,-4.29189967977407,13.9197886091551,366
264,5121,155225,194111.781944242,-7.59359147514985,20.0331899252836,357
265,5065,132754,163946.426645267,-6.15842579373478,19.0259875030751,334
266,5063,114816,151555.140978349,-7.25639758608519,24.241434992692,489
267,5099,151287,184631.407742876,-6.53940140083851,18.0599867327623,521
268,5083,138392,152131.726418562,-2.70307425114349,9.03146683602344,381
269,5159,113441,137085.306999956,-4.58311823996041,17.2478783593951,429
270,4960,144082,90107.4335140367,10.8819690495894,-59.9002372845912,98
271,5039,143963,177398.458401468,-6.63533605903323,18.8476600657944,439
272,5050,135732,176873.348437274,-8.14680167074738,23.2603435174206,463
273,5068,144336,158423.367648413,-2.77967001744528,8.89222837357973,503
274,5028,126997,138240.37359928,-2.23615226715985,8.13320544971263,397
275,5111,138026,158861.217830101,-4.07654428293888,13.1153582445676,461
276,5044,147136,157652.66101448,-2.08498434069785,6.67077926043635,387
277,5055,123886,163281.853243891,-7.79344277821779,24.1275147612675,345
278,5109,126331,146860.451686401,-4.01829158081842,13.9788836617763,444
279,5156,125667,120550.592512264,0.992321079855624,-4.2441993698331,715
280,5023,111001,146555.489616044,-7.07833757038512,24.2600872264781,386
281,4945,119432,136722.45862028,-3.49655381603229,12.6463924030949,388
282,5105,139826,187150.185560894,-9.27016367500369,25.2867425266302,445
283,5083,129685,177547.341299519,-9.41616000384007,26.9575094446366,425
284,5128,172084,189075.541617385,-3.31348315471619,8.9866417792783,433
285,4987,125001,146847.002278376,-4.38058998964828,14.8767097315087,465
286,4952,123638,164608.253664835,-8.27347610356127,24.8895500393658,323
287,5166,129243,163383.133702345,-6.60862053858785,20.8957515556913,440
288,5073,117384,159666.221659752,-8.33475688148082,26.4816322577329,553
289,5051,130525,162593.773810754,-6.34899501301807,19.7232483502595,492
290,5026,110555,131577.394870689,-4.18272878445859,15.9772086165326,391
291,5089,117479,139019.588241854,-4.23277426642833,15.4946425279144,439
292,5087,123227,159867.381826311,-7.20274854065475,22.9192355612097,423
